random_state,r2_global,rmse_global,mae_global,nematode_shannon_z_r2,macro_shannon_z_r2,earthworm_shannon_z_r2,orib_shannon_z_r2,meso_shannon_z_r2,coll_shannon_z_r2,bac_shannon_z_r2,fun_shannon_z_r2,euk_shannon_z_r2,oomy_shannon_z_r2,cerc_shannon_z_r2,macro_order_richness_z_r2,earthworm_richness_z_r2,orib_species_richness_z_r2,meso_species_richness_z_r2,coll_species_richness_z_r2,bac_asv_richness_z_r2,fun_asv_richness_z_r2,euk_asv_richness_z_r2,oomy_asv_richness_z_r2,cerc_asv_richness_z_r2
0,0.07656776527344583,0.9196171088643883,0.6915263377357712,0.15926153940047916,0.2984295774295046,0.47157908663084847,0.19579930597504713,-0.2950626430579646,-0.26198618900098447,0.010744459676540252,-0.018982790761614465,0.17831722532191918,0.11017451530897338,0.031299653268836214,0.42739533319307454,0.5233558504213491,0.21884792682179388,-0.062320975604039486,-0.8931077129271672,0.01268103683577293,-0.017446600458363104,0.23564508438156428,0.16856517368297452,0.11473421420381813
1,0.07659713283367113,0.9184220857952273,0.6778291879040432,0.15523809694740454,0.3064203606726139,0.5116504040897812,0.2020325665601086,-0.2244223326839525,-0.8048128610574563,0.04269951541501682,-0.025030395659434657,0.12505829592534534,0.11394595704245569,0.0014472304126617042,0.4072972589379207,0.5397113167793233,0.2314616722960916,0.034464547520628,-0.5145156073953294,-0.009493933216260686,-0.026124428722946513,0.23900667920394425,0.19371932286570692,0.1087861235734715
2,0.07531363009130197,0.923506944661798,0.6901113080020265,0.1539320572350793,0.30330426174279657,0.48324795555929756,0.15934559055328135,-0.31848029220403595,-0.34023909136731634,0.002058062380569492,-0.020583298602170785,0.13530843582761298,0.08996751565814642,0.001109394959362131,0.41459631431115274,0.5349360334848139,0.19294220893813974,-0.05006779860705768,-0.711593673110269,-0.015822904621324962,-0.03007084403400828,0.2793059717750075,0.22079698735250874,0.0975933446857562
3,0.05578588302332178,0.9275925443499525,0.6990308361487445,0.12303987702928743,0.3021042177375596,0.4765238931385196,0.177497638850605,-0.16184927769428747,-1.0054442628190068,-0.0051075785328804635,-0.03212991842608104,0.13036955536059947,0.11326376628473822,-0.010171776409273026,0.4109131565346308,0.5313789011281437,0.20949260779382617,-0.11234259410820768,-0.5013945849153412,-0.04680489772322405,-0.027527626951600936,0.2754771937565085,0.20634847304720094,0.11786678040804088
4,0.06100970741429753,0.928371652817113,0.6970351326942174,0.17416245763875682,0.06740630237022904,0.4445406825182918,0.18760678532746156,-0.10278508256688856,-0.8257705183940087,-0.006877514426700815,-0.018192472389745085,0.14723636193545875,0.13459436461053875,0.013918433501847183,0.3375900457700438,0.5215015471697162,0.18401451398294755,-0.05353529154941672,-0.4488955775400083,-0.013936625010952497,-0.03142784029650714,0.2642244738216598,0.19298630132236094,0.11284250790516348
5,0.08212077342785579,0.9195847456847973,0.6918423865389354,0.1563473534269887,0.32015235922726726,0.4671622530150764,0.1746950580594897,-0.17892491406659472,-0.27490603888329623,0.019847195716114818,-0.031150319932321313,0.16149229664130826,0.0977478875884491,-0.011342046375499404,0.4080894529722925,0.5421011648759423,0.18980234193848222,-0.08247513371976134,-0.7837188099440997,0.003917846650609014,-0.03706541916913286,0.2939484242551865,0.18170011381630036,0.10711517589217001
6,0.05037618907069645,0.933871804820536,0.6976141525420823,0.13435641339909876,0.14417552269732314,0.4798553937161806,0.21231106041054593,-0.44733317153756214,-0.368143437669493,-0.00014651259480569223,-0.048326774464979794,0.11659845795322932,0.10361548216073191,-0.01469526397509724,0.33422467945450673,0.5387446695328315,0.19939182759024698,-0.045920727310425624,-0.8093757041955338,-0.03486119140272126,-0.036730988372470685,0.2665636231341907,0.1873903809498212,0.14620623100900787
7,0.0763929007570529,0.9211419014551548,0.6873945085605658,0.16413461097200022,0.30297104481115256,0.478904051806074,0.1653965003628487,-0.19151792658220046,-0.3742837233864884,-0.0004508068841118096,-0.024029948353686326,0.1279430473064983,0.1022393478238266,0.005076372049029332,0.3893135598428671,0.5217953167374436,0.1848970306875497,-0.04765389127260278,-0.7700758983781648,-0.021618701209567215,-0.0033959388849522654,0.2633051428052251,0.20060329416713463,0.13069843147823546
8,0.05239540158800871,0.9306759440246699,0.7017322165853987,0.16021069885575756,0.16765055171666488,0.47237311330096077,0.22235719063777948,-0.16513554600594804,-0.8608392565252139,0.00016710873952530125,-0.03525279116216029,0.11320534091635504,0.0884104297276026,0.009649008682399152,0.3367827956357279,0.5254200362001049,0.2043203400055743,-0.09461550061539215,-0.5306714892515327,-0.05177838152042624,-0.026276053459404647,0.2726115576598622,0.1988005299200578,0.09291374988988876
9,0.05979380512615555,0.928018900484453,0.6997240262672398,0.14625860167190374,0.15330916934217875,0.482155366568083,0.18400244724952486,-0.17505795083746212,-0.4051704554548843,0.03901759366909063,-0.03357998516557004,0.11944085831940776,0.10059525111310197,-0.029814787487783878,0.34117400487679084,0.5407865750429908,0.1938819489884881,-0.08944601679224728,-0.8280555945218535,0.0002784934492134905,-0.03205611328050684,0.2643739543766399,0.1926695740055866,0.0909069725165742
10,0.06501700497765579,0.9253062299897612,0.69228418453963,0.1266511272450177,0.166688815527124,0.48092112952505917,0.1982190108001589,-0.26931399948601786,-0.3587220921778438,0.03368048070959173,-0.03820760754107644,0.1645484121563845,0.1113648870144387,0.0036674239155013444,0.3326665897638589,0.5205413292884296,0.22306929959948185,-0.06367377428877319,-0.8520358870529463,0.0031001132668082576,-0.032960846464684,0.28838345259409215,0.1885255893045812,0.13824365083158519
11,0.04863165465437904,0.9295233203072136,0.6924109135820083,0.13197057858467653,0.13651538611962022,0.47686021266881307,0.19499186869152263,-0.2220595941535739,-0.3613567370312578,0.017448864794310515,-0.03174344110677607,0.1323083816222551,0.09616458985902587,0.01675006049737604,0.3136233116609165,0.5190249988149478,0.20927608735382608,0.014504863179757743,-1.0954896473064442,-0.012916593727919201,-0.03420093898732546,0.2502161860142462,0.19107112653102754,0.07830518366293482
