random_state,earthworm_shannon_z_r2,earthworm_richness_z_r2,Modelo,r2_medio_prioritarios
0,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
1,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
2,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
3,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
4,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
5,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
6,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
7,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
8,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
9,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
10,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
11,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
12,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
13,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
14,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
15,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
16,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
17,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
18,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
19,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
20,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
21,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
22,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
23,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
24,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
25,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
26,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
27,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
28,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
29,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
30,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
31,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
32,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
33,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
34,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
35,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
36,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
37,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
38,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
39,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
40,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
41,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
42,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
43,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
44,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
45,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
46,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
47,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
48,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
49,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
50,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
51,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
52,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
53,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
54,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
55,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
56,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
57,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
58,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
59,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
60,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
61,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
62,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
63,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
64,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
65,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
66,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
67,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
68,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
69,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
70,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
71,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
72,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
73,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
74,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
75,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
76,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
77,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
78,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
79,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
80,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
81,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
82,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
83,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
84,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
85,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
86,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
87,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
88,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
89,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
90,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
91,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
92,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
93,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
94,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
95,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
96,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
97,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
98,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
99,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
100,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585
0,0.5390272520927675,0.5789599129377385,XGBoost Multisalida,0.558993582515253
1,0.5201944813835258,0.5991417665952389,XGBoost Multisalida,0.5596681239893824
2,0.5390204984265297,0.5687486763713632,XGBoost Multisalida,0.5538845873989464
3,0.5459103889651812,0.5772245714171077,XGBoost Multisalida,0.5615674801911444
4,0.529470864679082,0.5743415244095185,XGBoost Multisalida,0.5519061945443002
5,0.5236735993879669,0.5899985975282767,XGBoost Multisalida,0.5568360984581218
6,0.5214637534793733,0.6056343989863958,XGBoost Multisalida,0.5635490762328845
7,0.5286855079543571,0.5931071470552892,XGBoost Multisalida,0.5608963275048231
8,0.5375239567878154,0.5851148782370277,XGBoost Multisalida,0.5613194175124215
9,0.5239131163624124,0.5844944213894738,XGBoost Multisalida,0.5542037688759431
10,0.5301010044554173,0.5785879301007008,XGBoost Multisalida,0.5543444672780591
11,0.5358855313702384,0.5786304720796678,XGBoost Multisalida,0.5572580017249531
12,0.5577681488350661,0.6074872894958134,XGBoost Multisalida,0.5826277191654398
13,0.5612050436301596,0.5884026292654064,XGBoost Multisalida,0.574803836447783
14,0.5393303362225568,0.5814413102244187,XGBoost Multisalida,0.5603858232234877
15,0.5220768861978635,0.6105911717177193,XGBoost Multisalida,0.5663340289577914
16,0.5375367050466053,0.5940687494499739,XGBoost Multisalida,0.5658027272482896
17,0.5248557681058589,0.5933602160731981,XGBoost Multisalida,0.5591079920895285
18,0.5380037208595919,0.6000198615961345,XGBoost Multisalida,0.5690117912278632
19,0.5334479667710392,0.6001780790779806,XGBoost Multisalida,0.5668130229245099
20,0.538108440587649,0.5858078606233136,XGBoost Multisalida,0.5619581506054813
21,0.5476552436410753,0.6008037617368767,XGBoost Multisalida,0.574229502688976
22,0.5354425418701847,0.5896170882346341,XGBoost Multisalida,0.5625298150524094
23,0.5289550272744774,0.579380299416677,XGBoost Multisalida,0.5541676633455772
24,0.5346146831852365,0.5894710849725097,XGBoost Multisalida,0.5620428840788732
25,0.5317888568895504,0.5773778740681281,XGBoost Multisalida,0.5545833654788392
26,0.5208616605158737,0.5777872804139632,XGBoost Multisalida,0.5493244704649185
27,0.5360647244853706,0.6024979942728761,XGBoost Multisalida,0.5692813593791233
28,0.5444144434907612,0.5875554603458985,XGBoost Multisalida,0.5659849519183298
29,0.5251109618826679,0.5774354683644676,XGBoost Multisalida,0.5512732151235678
30,0.522309983928694,0.5707764715038803,XGBoost Multisalida,0.5465432277162872
31,0.5318315787863535,0.5953525634853396,XGBoost Multisalida,0.5635920711358465
32,0.5363429332270326,0.5933101477347038,XGBoost Multisalida,0.5648265404808682
33,0.5459134875857772,0.5771369741254775,XGBoost Multisalida,0.5615252308556273
34,0.5242792271246627,0.5983479856328957,XGBoost Multisalida,0.5613136063787791
35,0.5213249840394154,0.5960600879770594,XGBoost Multisalida,0.5586925360082374
36,0.5267508420657889,0.5901955289423066,XGBoost Multisalida,0.5584731855040478
37,0.545470715823211,0.5901867948117075,XGBoost Multisalida,0.5678287553174592
38,0.5546397583180729,0.600838099049392,XGBoost Multisalida,0.5777389286837324
39,0.5490196499088189,0.5931692911387537,XGBoost Multisalida,0.5710944705237864
40,0.5442117310489712,0.5750623097455057,XGBoost Multisalida,0.5596370203972385
41,0.5414493685378424,0.5935730949640887,XGBoost Multisalida,0.5675112317509656
42,0.5420078850695926,0.5790987387930041,XGBoost Multisalida,0.5605533119312984
43,0.5437011485208048,0.5880865830907991,XGBoost Multisalida,0.5658938658058019
44,0.5267420938535563,0.5898254643584797,XGBoost Multisalida,0.558283779106018
45,0.5294400730909375,0.5972635992686289,XGBoost Multisalida,0.5633518361797832
46,0.5349974940839642,0.5775610206215303,XGBoost Multisalida,0.5562792573527473
47,0.5471515395549772,0.5783182811200134,XGBoost Multisalida,0.5627349103374952
48,0.5305443067160637,0.6027694302185729,XGBoost Multisalida,0.5666568684673183
49,0.5398278105269894,0.5803791825515932,XGBoost Multisalida,0.5601034965392913
50,0.5373466884583893,0.5769839849007752,XGBoost Multisalida,0.5571653366795822
51,0.5518940204451338,0.587204409579779,XGBoost Multisalida,0.5695492150124564
52,0.5195933422943334,0.5849194236697168,XGBoost Multisalida,0.5522563829820251
53,0.5326128304271305,0.6003833000714777,XGBoost Multisalida,0.5664980652493041
54,0.5164579487777965,0.6019186562394359,XGBoost Multisalida,0.5591883025086162
55,0.503233943270888,0.5904644840018424,XGBoost Multisalida,0.5468492136363652
56,0.519617537834169,0.5865571829416276,XGBoost Multisalida,0.5530873603878983
57,0.5266708993521854,0.5597348879197032,XGBoost Multisalida,0.5432028936359443
58,0.5381048354528932,0.5916206110506066,XGBoost Multisalida,0.5648627232517499
59,0.5428985704232845,0.5969374865186057,XGBoost Multisalida,0.5699180284709451
60,0.5196787771791653,0.5632857249009691,XGBoost Multisalida,0.5414822510400672
61,0.5387074581515638,0.5929568331875845,XGBoost Multisalida,0.5658321456695742
62,0.5163746979412263,0.57804072984401,XGBoost Multisalida,0.5472077138926181
63,0.5396093553285934,0.5832036157201796,XGBoost Multisalida,0.5614064855243865
64,0.5376422612071944,0.5894671365614041,XGBoost Multisalida,0.5635546988842992
65,0.5303346716087367,0.5996883317685491,XGBoost Multisalida,0.5650115016886429
66,0.5596676401985401,0.5752610325472516,XGBoost Multisalida,0.5674643363728958
67,0.5190398422633644,0.5753650836576593,XGBoost Multisalida,0.5472024629605119
